                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                 1.0045,                0.68663,                0.85477,                0.51815,                0.38928,                 0.4008,                0.23939,                 1.0784,                0.86331,                0.86836,               0.002608,               0.002608,               0.002608
                    115,                 1.0017,                  0.681,                0.85438,                0.51357,                0.39164,                0.40156,                0.23979,                 1.0778,                0.86358,                0.86806,               0.002542,               0.002542,               0.002542
                    116,                 1.0061,                0.68377,                0.85586,                0.51898,                0.39064,                0.40155,                0.23941,                  1.077,                 0.8634,                0.86785,               0.002476,               0.002476,               0.002476
                    117,                0.99972,                0.68103,                0.85424,                 0.5194,                0.38992,                0.40192,                 0.2394,                 1.0771,                 0.8628,                0.86795,                0.00241,                0.00241,                0.00241
                    118,                0.99612,                0.67683,                0.85385,                0.51798,                0.39209,                0.40197,                0.23974,                 1.0772,                0.86355,                0.86803,               0.002344,               0.002344,               0.002344
                    119,                0.99218,                0.67548,                 0.8539,                0.51597,                0.39044,                 0.4008,                0.23901,                 1.0773,                0.86456,                0.86812,               0.002278,               0.002278,               0.002278
                    120,                0.99296,                0.67467,                0.85425,                0.50891,                0.39166,                0.40026,                0.23871,                 1.0773,                 0.8654,                 0.8681,               0.002212,               0.002212,               0.002212
                    121,                0.99459,                0.67476,                0.85316,                0.51099,                0.38645,                    0.4,                0.23861,                 1.0775,                0.86571,                0.86809,               0.002146,               0.002146,               0.002146
                    122,                0.99498,                0.67176,                0.85311,                0.51723,                0.38687,                 0.4004,                0.23908,                  1.078,                0.86653,                 0.8682,                0.00208,                0.00208,                0.00208
                    123,                0.99621,                0.67193,                0.85365,                0.51414,                0.38557,                0.40049,                0.23921,                 1.0789,                0.86647,                0.86854,               0.002014,               0.002014,               0.002014
                    124,                0.98979,                0.66748,                0.85297,                0.51741,                0.38702,                0.39995,                0.23859,                  1.079,                0.86816,                0.86874,               0.001948,               0.001948,               0.001948
                    125,                0.98895,                 0.6663,                0.85281,                0.51385,                0.38672,                0.40072,                0.23889,                 1.0788,                  0.869,                0.86847,               0.001882,               0.001882,               0.001882
                    126,                0.98817,                0.66624,                0.85304,                0.51382,                0.38674,                0.40064,                0.23945,                 1.0788,                0.86861,                0.86852,               0.001816,               0.001816,               0.001816
                    127,                0.99037,                0.66624,                0.85312,                0.51909,                0.38724,                0.40059,                0.23899,                 1.0783,                0.86801,                0.86832,                0.00175,                0.00175,                0.00175
                    128,                 0.9827,                0.66009,                0.85143,                0.51658,                0.38856,                 0.4009,                0.23926,                 1.0785,                0.86825,                0.86834,               0.001684,               0.001684,               0.001684
                    129,                0.98236,                 0.6573,                0.85085,                0.52037,                0.38731,                0.40076,                0.23939,                  1.079,                0.86836,                0.86839,               0.001618,               0.001618,               0.001618
                    130,                0.98345,                0.65822,                0.85137,                0.52224,                0.38507,                0.40054,                  0.239,                   1.08,                0.86864,                0.86847,               0.001552,               0.001552,               0.001552
                    131,                0.98352,                0.65642,                 0.8519,                0.52431,                0.38463,                0.40027,                0.23896,                 1.0804,                0.86926,                0.86862,               0.001486,               0.001486,               0.001486
                    132,                0.98393,                0.65573,                0.85185,                0.52208,                 0.3857,                0.40085,                0.23945,                 1.0811,                0.86922,                0.86875,                0.00142,                0.00142,                0.00142
                    133,                0.98054,                0.65531,                0.85166,                0.51421,                0.38594,                0.40065,                0.23934,                 1.0808,                0.86925,                0.86878,               0.001354,               0.001354,               0.001354
                    134,                0.98261,                0.65438,                0.84954,                 0.5158,                0.38559,                0.40045,                0.23935,                 1.0815,                0.86977,                0.86883,               0.001288,               0.001288,               0.001288
                    135,                 0.9818,                 0.6537,                0.84937,                0.51529,                0.38669,                0.40064,                0.23936,                 1.0814,                0.86947,                0.86881,               0.001222,               0.001222,               0.001222
                    136,                0.97767,                  0.649,                 0.8501,                0.51623,                 0.38813,                    0.4,                  0.239,                 1.0818,                0.86975,                0.86891,               0.001156,               0.001156,               0.001156
                    137,                0.97423,                0.64392,                0.84982,                0.51774,                0.38847,                0.40011,                0.23901,                  1.082,                0.86976,                0.86902,                0.00109,                0.00109,                0.00109
